date,meal_type,weather,schedule,day_of_week,actual_demand
2024-01-01,breakfast,cloudy,holiday,monday,17
2024-01-01,lunch,cloudy,holiday,monday,32
2024-01-01,dinner,cloudy,holiday,monday,25
2024-01-02,breakfast,sunny,holiday,tuesday,19
2024-01-02,lunch,sunny,holiday,tuesday,32
2024-01-02,dinner,sunny,holiday,tuesday,22
2024-01-03,breakfast,cloudy,holiday,wednesday,17
2024-01-03,lunch,cloudy,holiday,wednesday,32
2024-01-03,dinner,cloudy,holiday,wednesday,33
2024-01-04,breakfast,cloudy,holiday,thursday,21
2024-01-04,lunch,cloudy,holiday,thursday,33
2024-01-04,dinner,cloudy,holiday,thursday,31
2024-01-05,breakfast,cloudy,holiday,friday,17
2024-01-05,lunch,cloudy,holiday,friday,29
2024-01-05,dinner,cloudy,holiday,friday,22
2024-01-06,breakfast,sunny,weekend,saturday,16
2024-01-06,lunch,sunny,weekend,saturday,24
2024-01-06,dinner,sunny,weekend,saturday,18
2024-01-07,breakfast,stormy,weekend,sunday,6
2024-01-07,lunch,stormy,weekend,sunday,12
2024-01-07,dinner,stormy,weekend,sunday,11
2024-01-08,breakfast,rainy,regular,monday,59
2024-01-08,lunch,rainy,regular,monday,103
2024-01-08,dinner,rainy,regular,monday,70
2024-01-09,breakfast,cloudy,regular,tuesday,76
2024-01-09,lunch,cloudy,regular,tuesday,150
2024-01-09,dinner,cloudy,regular,tuesday,94
2024-01-10,breakfast,cloudy,regular,wednesday,79
2024-01-10,lunch,cloudy,regular,wednesday,167
2024-01-10,dinner,cloudy,regular,wednesday,124
2024-01-11,breakfast,sunny,regular,thursday,78
2024-01-11,lunch,sunny,regular,thursday,129
2024-01-11,dinner,sunny,regular,thursday,112
2024-01-12,breakfast,sunny,regular,friday,72
2024-01-12,lunch,sunny,regular,friday,150
2024-01-12,dinner,sunny,regular,friday,91
2024-01-13,breakfast,cloudy,weekend,saturday,8
2024-01-13,lunch,cloudy,weekend,saturday,22
2024-01-13,dinner,cloudy,weekend,saturday,25
2024-01-14,breakfast,sunny,weekend,sunday,13
2024-01-14,lunch,sunny,weekend,sunday,26
2024-01-14,dinner,sunny,weekend,sunday,22
2024-01-15,breakfast,sunny,regular,monday,70
2024-01-15,lunch,sunny,regular,monday,126
2024-01-15,dinner,sunny,regular,monday,102
2024-01-16,breakfast,cloudy,regular,tuesday,66
2024-01-16,lunch,cloudy,regular,tuesday,141
2024-01-16,dinner,cloudy,regular,tuesday,108
2024-01-17,breakfast,sunny,regular,wednesday,82
2024-01-17,lunch,sunny,regular,wednesday,136
2024-01-17,dinner,sunny,regular,wednesday,110
2024-01-18,breakfast,cloudy,regular,thursday,69
2024-01-18,lunch,cloudy,regular,thursday,134
2024-01-18,dinner,cloudy,regular,thursday,100
2024-01-19,breakfast,cloudy,regular,friday,51
2024-01-19,lunch,cloudy,regular,friday,84
2024-01-19,dinner,cloudy,regular,friday,93
2024-01-20,breakfast,sunny,weekend,saturday,15
2024-01-20,lunch,sunny,weekend,saturday,22
2024-01-20,dinner,sunny,weekend,saturday,25
